"Item Name","Quantity","Cost Price","Selling Price","Expected Profit"
"GLIMPER 4MG TAB","50","14.00","17.00","150.00"
"Glo Power Syrup","48","25.30","27.00","81.60"
"glocose test strips (on call sure)","10","150.00","170.00","200.00"
"Glodol gel","150","8.00","9.00","150.00"
"Glopain Tablets","6","2.00","2.50","3.00"
"Glopex Syrup","10","25.00","0.00","-250.00"
"GLOPOWER SYRUP","297","0.00","29.00","8,613.00"
"Glopower Tablets","28","15.60","18.00","67.20"
"glucose meter(on call sure)","4","120.00","150.00","120.00"
"Glucose orange","22","7.00","9.00","44.00"
"glucose test strip(on call sure)","10","150.00","170.00","200.00"
"Glucose white (Letap)","77","7.00","9.00","154.00"
"GLYCERINE PURE small","1000","9.60","12.00","2,400.00"
"Gml apete tab","215","3.00","3.50","107.50"
"Go Cough Syrup","150","6.80","9.00","330.00"
"Godic Herbal Mixture","10","20.00","0.00","-200.00"
"GOGYNAX CREAM","52","8.90","11.00","109.20"
"Gogynax TAB","100","6.33","8.00","167.00"
"Good Morning Herbal Mixture","10","25.00","0.00","-250.00"
"GREEN TEA 300mg","192","4.00","4.50","96.00"
"green tea","239","3.30","4.00","167.30"
"griseofulvin susp letap","169","7.80","10.00","371.80"
"Grison Syrup(yellow&orange)","93","20.00","23.00","279.00"
"Groffyn Tonic","621","17.00","19.00","1,242.00"
"Guaze bandage 4inch","161","0.00","2.00","322.00"
"Gudapet Syrup","57","15.80","19.00","182.40"
"Gudapet Tablets","10","20.00","0.00","-200.00"
"GV PAINT (ROKMER PHARMACY)","193","2.50","3.00","96.50"
"GV PAINT(ADANSEMAN)","359","2.50","3.30","287.20"
"Gvither Plus 20/120 Tab","50","0.00","5.00","250.00"
"Gyae Su","10","18.00","18.00","0.00"
"Gyno mycolex 400MG PESS","34","44.00","47.00","102.00"
"Gyprone Plus Syrup","109","18.00","22.00","436.00"
"Gyprone Plus Tablets","710","4.60","5.40","568.00"
"Hac- capsules","3","32.00","35.00","9.00"
"Hac-car Mixture","1","32.00","35.00","3.00"
"HAEMATOVITE SYRUP","48","10.00","13.00","144.00"
"Haemo Forte Syrup","55","41.60","44.00","132.00"
"Haemoglobin Syrup (Ayrton)","10","0.00","14.00","140.00"
"Haemoglobin Syrup(Letap)","203","5.70","7.00","263.90"
"Haemoglobin Syrup(M&G)","93","0.00","14.00","1,302.00"
"HaemUp Syr","10","0.00","45.00","450.00"
"Hallo Mixture","10","22.00","22.00","0.00"
"Hand Gloves (Bold)","3170","0.45","0.50","158.50"
"Happyrona Forte Syrup","996","0.00","17.00","16,932.00"
"happyrona forte syrup 100ml","12","9.00","11.00","24.00"
"HAPPYRONA FORTE SYRUP 60ml","1981","0.00","8.00","15,848.00"
"HAPPYRONA FORTE TABLET","400","3.50","4.00","200.00"
"heamoglobin letap","333","5.90","7.00","366.30"
"heamoglobin (arton)","13","11.00","14.00","39.00"
"HEAMOGLOBIN(M&G)","42","8.40","11.00","109.20"
"Hepa Plus Capsules","10","19.00","19.00","0.00"
"Hepa Plus Mixture","9","17.00","19.00","18.00"
"HEPTOLIF SYRUP 200ML","97","17.50","20.00","242.50"
"heptolif syrup 30ml","103","0.00","3.00","309.00"
"HEPTOLIF TAB","41","1.97","2.50","21.73"
"HEPTOPEP SRY","50","39.00","42.00","150.00"
"herbasoul cream","165","18.00","20.00","330.00"
"HERBLOZ LOZENZES","3000","0.00","120.00","360,000.00"
"HI LADY WASH","111","30.00","33.00","333.00"
"Histazine Syrup","63","0.00","10.00","630.00"
"Honocomol tab","96","2.20","2.40","19.20"
"honocovita tab","234","3.50","3.80","70.20"
"Huichun Capsules","10","50.00","50.00","0.00"
"hydralazine 50mg tab","4","98.80","110.00","44.80"
"hydrocortison cream (Roxin Ghana)","243","5.25","7.00","425.25"
"Hydrogen 125ml(PPL)","10","8.00","0.00","-80.00"
"Hydrogen 200ml(Adenseman)","206","4.50","5.50","206.00"
"Hydrogen 200ml(Ernest Chemist)","63","9.80","12.00","138.60"
"Hydrogen Phersons 125ml","64","5.00","6.00","64.00"
"HYOSCINE BUTYL BROMID TAB(ESKYPAN)","25","6.00","7.00","25.00"
"hyoscine butyl bromide ing","60","3.50","4.50","60.00"
"HYOSCINE BUTYL BROMIDE TAB(BUSCOMED)","70","5.50","7.00","105.00"
"HYOSCINE BUTYL TAB(HYBUCIN)","97","6.00","7.00","97.00"
"HYPROFIC TAB","12","120.00","140.00","240.00"
"Ibucap Capsules","15","3.80","4.25","6.75"
"Ibucap Tablets","115","3.85","4.25","46.00"
"Ibuglo Capsules","105","5.80","6.50","73.50"
"Ibuprofen 400 Tablet(Eskay)","10","3.00","0.00","-30.00"
"Ibuprofen 400 Tablet(Letap)","1032","0.00","1.30","1,341.60"
"IBUPROFEN SYRUP 100ML(TRADE WINE)","36","9.00","11.00","72.00"
"Imboost Herbal Mixture","980","22.00","24.00","1,960.00"
"INDAPAMIDE/CARDIDE TAB","5","30.80","37.00","31.00"
"INDOCID CAPS","1345","0.70","0.90","269.00"
"Iomeg Syrup","10","20.00","0.00","-200.00"
"IPC Drop","46","12.60","14.00","64.40"
"Itraconazole 100mg cpas","30","32.00","38.00","180.00"
"j k tone syrup","25","17.00","19.00","50.00"
"Jarifan 2 caps","48","19.06","23.00","189.12"
"Jarifan-2 Syrup","58","22.50","26.00","203.00"
"Jarvin caps","140","2.50","3.00","70.00"
"Jeditone Syrup","10","20.00","0.00","-200.00"
"Jet 2 Inhaler","510","16.00","17.00","510.00"
"Jet 2 Syr Adult","10","0.00","35.00","350.00"
"JET INHERLAR","204","5.00","6.50","306.00"
"Jet-2 Lozenges","10","2.50","0.00","-25.00"
"JK Tone Syr","4","0.00","19.00","76.00"
"Jovanny lozenge","1025","0.40","0.53","133.25"
"joy ointment s /s","64","7.50","8.00","32.00"
"joy ont1o","1","0.00","8.00","8.00"
"K-Vita Plus Syr","70","20.00","22.00","140.00"
"K.Vita Plus Syrup","10","30.00","0.00","-300.00"
"Kabewe","2","18.00","18.00","0.00"
"Kafacid Suspension","10","15.00","0.00","-150.00"
"Kafcold syrup","12","8.00","9.00","12.00"
"Kafcough Adult","10","8.00","9.00","10.00"
"Kalamina lotion","12","28.00","30.00","24.00"
"Kandimix Herbal Mixture","15","25.00","27.00","30.00"
"Kanisa Herbal Mixture","6","25.00","0.00","-150.00"
"Kanisah Capsules","10","25.00","0.00","-250.00"
"Kanisah Herbal Mixture","7","25.00","0.00","-175.00"
"Kankam Koo Mixture","10","25.00","25.00","0.00"
"Kankam tystop","25","23.00","25.00","50.00"
"KAREN CHLORAMPHENICOL EYE DROP","411","4.30","6.00","698.70"
"karen mouth wash mint 250ml","41","27.00","32.00","205.00"
"Ketazol Cream","49","20.32","23.00","131.32"
"ketoconazole 200mg tab","35","16.00","20.00","140.00"
"KETOCONAZOLE CREAM(ERNEST CHEMIST)","40","6.80","8.00","48.00"
"Keuron Srup","10","12.00","0.00","-120.00"
"kidivitie syrup 200 ml","11","21.60","24.00","26.40"
"KIDOFEN SYRUP","40","9.00","11.00","80.00"
"Kidvite Syrup(200ml)","10","25.00","0.00","-250.00"
"Kinafen Express Capsules","9","7.00","0.00","-63.00"
"KINAGEN SYRUP","44","5.00","6.50","66.00"
"Kindervite Syr","24","7.00","9.00","48.00"
"Kingdom Garlic Bitters","122","36.00","38.00","244.00"
"KINGDOM GARLIC CAPS","17","43.00","46.00","51.00"
"KINGDOM GINSENG POWER CAPS","17","36.00","39.00","51.00"
"KINGDOM KOO CAPS","36","36.00","39.00","108.00"
"Kintablets Kin Tab","10","40.00","40.00","0.00"
"Kiss Condom","175","5.00","6.00","175.00"
"KLARO EYE DROP","50","10.80","14.00","160.00"
"Klire Tablet","10","10.00","0.00","-100.00"
"Klovinal Passeries","193","32.40","40.00","1,466.80"
"KOFFEX ADULT SYRUP","154","12.49","14.00","232.54"
"Kofof Adult syrup","72","12.50","14.50","144.00"
"Kofof Baby cough syrup","53","13.00","15.00","106.00"
"Kofof Family chesty cough syr","998","0.00","17.00","16,966.00"
"kongo cream","932","11.00","13.00","1,864.00"
"Kristen Tablets","6510","7.00","1.00","-39,060.00"
"KUMACLA 1000MG","150","35.00","40.00","750.00"
"Kumadada","20","2.00","2.50","10.00"
"KUTIEKID SYR","171","18.00","22.00","684.00"
"Kwaso Cough","10","17.00","17.00","0.00"
"Kwasu Koo Herbal Mixture","112","15.00","17.00","224.00"
"Kwasu Ulcer Herbal Mixture","20","15.00","17.00","40.00"
"KWICK ACTION TAB","1919","1.33","1.50","326.23"
"Laclose Solution","30","52.58","57.00","132.60"
"LADINAS TAB","42","10.00","12.00","84.00"
"lakesea cod liver oil","15","13.00","15.00","30.00"
"lancets(eazy touch)","7","20.00","40.00","140.00"
"laud balm","671","7.50","8.50","671.00"
"Laviflam 125 para supp","567","1.00","1.20","113.40"
"laviflam 125 supp(para supp)","772","1.20","1.40","154.40"
"LAVINA C 75MG CAPS","200","4.50","6.00","300.00"
"lavl cv 457 (ds)suspension","36","25.00","28.00","108.00"
"law care h mix","0","20.00","22.00","0.00"
"lawson herbal mixt","27","0.00","20.00","540.00"
"Leena Capsules","52","6.30","7.50","62.40"
"Leena Syrup","134","16.61","18.00","186.26"
"Leopard Balm","55","17.23","19.00","97.35"
"LETACAM CAPS","911","0.80","1.00","182.20"
"Letafen Susp","174","2.90","4.50","278.40"
"Letafen Tab","1117","1.01","1.30","323.93"
"Letalin Cough Syrup","634","3.10","4.50","887.60"
"Letamox 500 Tablets","2299","0.75","1.00","574.75"
"Letamox Suspension","62","0.00","4.50","279.00"
"Letaplex B Syrup","94","2.80","4.00","112.80"
"Letaron Syrup","170","5.75","8.00","382.50"
"Letavin 125mg Letap","1401","1.89","2.20","434.31"
"Letavin 500mg Letap","290","6.85","8.00","333.50"
"Letavin susp","135","8.00","10.00","270.00"
"Letavit Syrup","107","3.20","4.50","139.10"
"LEVOFLOXACIN 500MG TAB(SKY BRIDGE PHARMACY)","10","34.60","40.00","54.00"
"Levon 2 Intimate Wash (big)","70","0.00","48.00","3,360.00"
"Levon 2 Intimate Wash (small)","63","0.00","28.00","1,764.00"
"Levon 2 Tablets","157","0.00","13.00","2,041.00"
"LEVOTHYROXINE 50MG","10","22.80","27.00","42.00"
"LEXSPORIN CREAM","5","0.00","58.00","290.00"
"LEXSPORIN POWDER","10","0.00","58.00","580.00"
"LIDOCAIN GEL","3","16.60","20.00","10.20"
"LIDOCAIN INJ","17","7.00","10.00","51.00"
"linctus adult dannex","53","9.41","11.00","84.27"
"linctus junion dannex","58","9.00","11.00","116.00"
"Linkof Syrup (Baby)","10","15.00","0.00","-150.00"
"Lintus Syrup (Junior)","23","9.50","12.00","57.50"
"lisinopril 5mg tab tava","20","10.85","12.00","23.00"
"LISINOVA 10MG TAB","72","7.20","9.00","129.60"
"LISINOVA HTZ TAB","98","14.00","18.00","392.00"
"LIV 52 TAB","4","83.00","90.00","28.00"
"LIVERPLEX B 100ml","50","0.00","22.00","1,100.00"
"Liverplex B Syrup(200ml)","30","0.00","29.00","870.00"
"Lofnac Gel","671","9.00","11.00","1,342.00"
"Lofnac Balm","0","0.00","0.00","0.00"
"Lofnac 100mg Tablets","10","4.00","0.00","-40.00"
"Lonart DS 80/480mg Tablets","371","26.10","30.00","1,446.90"
"Lonart Suspension","124","18.90","22.00","384.40"
"LOPERAMIDE SYRUP","20","35.00","40.00","100.00"
"Loratidine tab","20","18.98","24.00","100.40"
"losartan 50mg (LTP)","259","7.00","10.00","777.00"
"Lucky Bitters","28","28.00","30.00","56.00"
"Lucky Herbal Mixture","29","28.00","30.00","58.00"
"Lucky V-Care","77","28.00","30.00","154.00"
"luex childrens chesty cough syrup","15","30.00","35.00","75.00"
"Lufart 20/120mg Tablets","10","15.00","0.00","-150.00"
"Lufart DS 80/480mg Tablets","1827","22.50","25.00","4,567.50"
"Lufart Syrup","481","19.00","22.00","1,443.00"
"LUZATIL 20/120 TAB","120","9.00","10.50","180.00"
"LY MPHSHAMEI CAPS","92","6.00","8.00","184.00"
"Lycofib Syrup","10","35.00","0.00","-350.00"
"Lydia Postpill","3760","15.00","16.50","5,640.00"
"m&b tab","6","5.50","7.00","9.00"
"M2 TONE TAB","15","93.00","105.00","180.00"
"Maame DaabmogOintment","32","11.00","12.00","32.00"
"MADAM CATHERINE","257","0.00","18.00","4,626.00"
"mademeho balm","351","7.00","8.00","351.00"
"Mademeho Caps","43","20.00","22.00","86.00"
"Mademeho Herbal Capsules","71","22.00","22.00","0.00"
"Mademeho Koo Capsules","119","20.00","22.00","238.00"
"mademeho oint","601","7.00","8.00","601.00"
"Mademeho Onuado Capsules","128","20.00","22.00","256.00"
"Mademeho Woadinim","88","20.00","22.00","176.00"
"MAESTRO NASAL DROP","100","5.00","7.00","200.00"
"Magacid Suspension","95","16.00","17.00","95.00"
"Magacid Tablets","4842","1.50","1.80","1,452.60"
"Magnavit Capsules","80","16.53","18.00","117.60"
"Mahay Herbal Mixture","61","15.00","17.00","122.00"
"Major Nasal Drop","100","16.80","19.00","220.00"
"mala tysph mix","11","22.00","25.00","33.00"
"Mala-2 DS 80/480mg Tablets","60","19.80","23.00","192.00"
"Malar-2 Suspension","42","25.00","21.00","-168.00"
"Malaria test (LEGEND)","145","7.00","7.50","72.50"
"MALARIA TEST KIT/FIRST VIEW","150","2.00","3.00","150.00"
"Malluart Suspension","53","0.00","9.00","477.00"
"Malufen 480/80mg Tab","260","0.00","18.00","4,680.00"
"Manforce Condom","148","4.50","5.00","74.00"
"Martin Liver Salt","17","0.65","0.80","2.55"
"masada h mixture","26","22.00","24.00","52.00"
"Max Mox 500mg caps","146","11.50","13.00","219.00"
"Maxmox Susp","60","0.00","12.00","720.00"
"Mebenda 500 Tablets","10","5.00","0.00","-50.00"
"Meberona tab","770","1.25","1.70","346.50"
"Medfagen Capsules","8","20.00","20.00","0.00"
"mensoplas Miture","964","24.00","26.00","1,928.00"
"Menstak tabs","8","4.50","6.00","12.00"
"MENTAT SYRUP","5","63.00","70.00","35.00"
"MENTHODEX","498","0.00","32.00","15,936.00"
"Menthodex (Small Size)","8","30.00","33.00","24.00"
"MENTHOX JUR","192","8.00","10.00","384.00"
"Menthox Lozenges","125","0.80","1.00","25.00"
"Menthox Syrup (Adult)","225","10.22","12.00","400.50"
"mercy creme m/s","10","14.00","16.00","20.00"
"mercy creme big","10","40.00","45.00","50.00"
"mercy creme s/s","51","6.60","7.50","45.90"
"MERIVITA CPAS","188","7.20","8.00","150.40"
"Merivita Syrup","10","20.00","0.00","-200.00"
"Merpac Tablet","10","6.00","0.00","-60.00"
"Mervit Plus Capsules","10","7.00","0.00","-70.00"
"METFORMIN 500MG TAB (ENAPHAGE )","590","1.60","1.80","118.00"
"METFORMIN 500MG DANK TAB","100","12.80","15.00","220.00"
"METHYLDOPA 250MG TAB","100","11.80","13.00","120.00"
"metoclopramide 100mg tab","17","0.00","20.00","340.00"
"Metroniazole Susp (Letap)","986","3.75","5.00","1,232.50"
"Metronidazole Tablets (200mg) Letap","2852","0.56","0.70","399.28"
"Metronidazole Tablets (400mg) A-EFAH","395","0.00","2.50","987.50"
"Mighty Power Herbal Mixture(small)","1","22.00","22.00","0.00"
"Mighty Power Mixture (Big)","0","28.00","28.00","0.00"
"MILK OF MAGNESIA (letap)","989","0.00","4.50","4,450.50"
"Milk of Magnesia (Starwin)","96","17.00","19.00","192.00"
"Milk of magsiah 360ml","12","40.00","43.00","36.00"
"Mimovite Syr","10","0.00","22.00","220.00"
"Mimovite Tablets","10","15.00","0.00","-150.00"
"Minamino Syr","5","0.00","98.00","490.00"
"Minas Liver Salt","646","1.11","1.40","187.34"
"mist senna- co","97","3.80","5.00","116.40"
"mist ( f a c )ferromas","150","3.80","5.00","180.00"
"MIST PO CIT","968","0.00","5.00","4,840.00"
"MIXACOL SYRUP","30","10.80","13.00","66.00"
"Mixtab Tablets","255","1.30","1.60","76.50"
"MMT Suspension(Adenseman)","239","4.50","5.50","239.00"
"MMTSuspension (PPL)","10","10.00","0.00","-100.00"
"MONOPACE ORG TAB","3","114.80","135.00","60.60"
"MOSQUITO REPELLENT","1996","0.00","8.00","15,968.00"
"Movit Plus Syrup","19","13.00","15.00","38.00"
"Mr Q","440","8.00","10.00","880.00"
"Mucolex Adult 150ml syr","20","28.50","33.00","90.00"
"muitivitamin tab letap","1980","0.28","0.35","138.60"
"MULLUART SUSP","27","0.00","9.00","243.00"
"Multinova Syrup","10","15.00","0.00","-150.00"
"multivitamine syrup (aspee pharmacy)","0","7.00","9.00","0.00"
"multivitamine syrup (ernest chermist)","1","10.00","12.00","2.00"
"multivitamine syrup(baselin pharmacy)","55","10.00","12.00","110.00"
"Multivitamine Tablets (Letap)","6110","0.28","0.35","427.70"
"Mupirolex oint","5","38.00","43.00","25.00"
"My Baby Syrup","58","6.80","9.00","127.60"
"Mycolex 3 Cream","100","28.50","32.00","350.00"
"Mycolex Cream","36","24.00","24.00","0.00"
"MYCOSTAT 150MG","661","12.00","13.00","661.00"
"Mycotrin 2%","10","20.00","0.00","-200.00"
"n s infajion letap","24","9.00","12.00","72.00"
"N TAB","44","0.00","2.70","118.80"
"Nah Fevamix","12","22.00","22.00","0.00"
"nah gonomix","40","15.00","17.00","80.00"
"nah herbalmix","17","20.00","22.00","34.00"
"nah ibomix","50","23.00","25.00","100.00"
"nah powder","15","18.00","20.00","30.00"
"nahak multivatamine syrup","980","10.50","12.00","1,470.00"
"Naprosyn EC TAB/ORG/","5","90.00","10.00","-400.00"
"NAPROX EC PLAIN TAB","50","11.80","15.00","160.00"
"Naprox EC tab","50","14.80","18.00","160.00"
"Nazo Cream","266","2.33","3.00","178.22"
"Nba cream","20","8.00","9.00","20.00"
"Neo hycolex E/E drop","54","40.00","45.00","270.00"
"NEOCORT DROP","50","46.00","50.00","200.00"
"Neoferon Syr","30","0.00","45.00","1,350.00"
"NERVE&BONE LINIMENT","5","28.00","32.00","20.00"
"Nesmoset soap","50","15.00","18.00","150.00"
"Nesprodine Syr","82","29.80","33.00","262.40"
"Nesterix Syr","10","0.00","28.00","280.00"
"NEURO MIN PLUS TAB","100","33.20","38.00","480.00"
"Nexcofer Capsules","47","13.50","16.00","117.50"
"Nexcofer Syrup(200ml)","42","23.80","26.00","92.40"
"Nexterix Syrup","8","0.00","28.00","224.00"
"Nhyira Honey","80","46.00","50.00","320.00"
"Nifecard xl 30MG","19","53.00","60.00","133.00"
"Nifedipin 20mg tab(skydipin)","335","1.80","2.20","134.00"
"NIFEDIPIN 20MG(TOBINCO)","390","2.40","3.00","234.00"
"Nifedipine 30mg (skydipin)","500","5.00","4.00","-500.00"
"NIFEMED XL 30MG","100","25.00","30.00","500.00"
"Nissiworm Suspension","10","5.00","0.00","-50.00"
"NITROFURANTOIN 50MG CAPS","5","86.00","100.00","70.00"
"NKAMOL SYRUP","50","7.50","8.50","50.00"
"NO 10","850","500.00","1.50","-423,725.00"
"No spa 40mg tab","20","16.00","22.00","120.00"
"No.1o Liver Salt","139","1.36","1.50","19.46"
"NOSTAMINE DROP","10","0.00","38.00","380.00"
"Novacold Tablets","10","2.00","0.00","-20.00"
"NOVOLINDA SOLUTION","10","58.00","65.00","70.00"
"NS INFU","18","0.00","11.00","198.00"
"Nugel O Suspension","26","47.60","50.00","62.40"
"Nugel Suspension","20","45.00","47.00","40.00"
"NURODOL ICE GELL","100","6.30","8.00","170.00"
"Nutriday Syrup","10","15.00","0.00","-150.00"
"Nya Nkwa Oyei","1526","6.00","7.00","1,526.00"
"obaapa oint","847","8.50","10.00","1,270.50"
"Obofo Herbal Mixture","0","20.00","0.00","0.00"
"Octid Tab","370","5.00","5.50","185.00"
"Odymin Capsules","105","7.04","8.50","153.30"
"Odymin Syrup","68","16.30","19.00","183.60"
"ODYYNE CAPS (VEGA UK)","20","50.00","55.00","100.00"
"OFORMIN TAB (METFORMIN 500MG)","1440","1.40","1.80","576.00"
"Olanzepine 10mg tab","10","40.00","45.00","50.00"
"OLIVE OIL BELLS","13","31.50","34.00","32.50"
"Omega Oil","183","0.00","19.00","3,477.00"
"Omegon Syrup","10","25.00","0.00","-250.00"
"Omeprazole 20mg (Ronzol caps)","740","2.10","3.00","666.00"
"Omeprazole 20mg tab(mesec)","247","7.50","10.00","617.50"
"omeprazole caps 20mg (letap)","84","1.25","2.00","63.00"
"Omintimirim Herbal Mixture","14","25.00","27.00","28.00"
"Onidol Tablet","0","1.80","2.00","0.00"
"Onita Syrup","10","15.00","0.00","-150.00"
"Opadic Caps","755","3.50","4.00","377.50"
"ora plus","7","6.00","7.00","7.00"
"ORS (ERNEST CHEMIST)","97","1.52","1.72","19.40"
"ors dannex plain","558","1.20","1.40","111.60"
"ORS orange dannex","989","0.00","1.48","1,463.72"
"ORS PLAIN (PHYTO)","1870","1.14","1.45","579.70"
"ORTHOCARE CAPS","12","120.00","140.00","240.00"
"ORTHOCARE GEL","47","24.00","27.00","141.00"
"osteocalcin tab","9","0.00","35.00","315.00"
"OSTEOCARE SYR U","13","72.00","80.00","104.00"
"OSTEOCARE SYRUP (INDIA)","40","25.30","30.00","188.00"
"Osteocare Syrup(India)","10","40.00","0.00","-400.00"
"OTRIVIN NASAL DROP( ADULT)","10","63.79","68.00","42.10"
"OTRIVIN NASAL DROP( CHLID)","10","59.31","65.00","56.90"
"Otwea powder","375","8.00","9.00","375.00"
"Oxafen","10","0.00","4.00","40.00"
"Oxytetracycline Caps","1315","0.96","1.20","315.60"
"OZIN SYRUP","56","6.00","7.50","84.00"
"OZZY OMEGA 3 FISH OIL","54","28.00","55.00","1,458.00"
"P0t Cit solution(pherson)","50","6.50","8.00","75.00"
"P2 LEVONORGESTREL","3000","0.00","5.50","16,500.00"
"Paingay Caps","23","0.00","7.00","161.00"
"Painoff Tablet","2925","0.80","1.00","585.00"
"Pakum Capsules","7","23.00","23.00","0.00"
"Panacin tablet","70","0.00","2.50","175.00"
"paper envelop","134","3.00","5.00","268.00"
"paper envelop/samall","77","8.00","12.00","308.00"
"para supp 125mg(troge)","200","0.60","1.00","80.00"
"para supp 250mg","24","11.00","13.00","48.00"
"Paracetamol Riddles","811","0.00","0.85","689.35"
"paracetamol syrup(baseline0","123","6.50","8.00","184.50"
"paracetamol Syrup(letap)","466","3.10","4.50","652.40"
"Paracetamol tab Uk(exeter)","60","3.20","3.50","18.00"
"Paracetamol Tablets (Eskay)","3688","0.75","0.85","368.80"
"Paracetamol Tablets (Letap)","4295","0.56","0.65","386.55"
"Parafenac Tablet","0","3.00","3.50","0.00"
"Paralex-D","80","0.00","6.00","480.00"
"paramed syrup 100ml","42","0.00","7.00","294.00"
"Paramol Syrup","10","10.00","0.00","-100.00"
"Paratop Tablet","108","0.00","3.50","378.00"
"Pavi Capsules","10","19.00","19.00","0.00"
"Pavi Mixture","14","17.00","19.00","28.00"
"Pawafenac Capsules","10","4.00","0.00","-40.00"
"Pedol Tablet","574","0.00","3.20","1,836.80"
"Peladol cold & cough","400","0.00","0.90","360.00"
"peladol extra forte caps","20","4.50","5.00","10.00"
"Peladol Extra Tablets","634","2.35","2.50","95.10"
"penicillin oint","12","6.00","8.00","24.00"
"Penicillin v tablet (MMD)","1000","1.56","1.60","40.00"
"Penicillin V Tablets Letap","1980","1.28","1.50","435.60"
"PERFECTIL ORG TAB","10","105.00","130.00","250.00"
"PHENOBARBITONE 30MG","175","1.40","1.80","70.00"
"PHLEBODIA 600MG TAB","10","166.30","180.00","137.00"
"PHOPAIN SYRUP","60","11.50","13.00","90.00"
"Phopain Tablet","50","1.50","1.50","0.00"
"PICRON FORTE CSPS","1150","2.36","2.80","506.00"
"Picron Spray","22","0.00","25.00","550.00"
"PILS GLO APS","6","14.00","16.00","12.00"
"Piroxicam Mazacam","18","2.16","2.50","6.12"
"Plasmox Capsules","10","19.00","19.00","0.00"
"Plasmox Herbal Mixture","12","17.00","19.00","24.00"
"plaster loose(ascort pharmacy)","2895","0.18","0.25","202.65"
"PMF CLASSIC","12","30.00","40.00","120.00"
"PMF YELLOW","9","30.00","33.00","27.00"
"Pocupain Tablet","10","5.00","0.00","-50.00"
"Pofakof Baby Syr","1","9.50","12.00","2.50"
"pofakof junior syr","10","0.00","12.00","120.00"
"poget h mix","120","15.00","18.00","360.00"
"Polyfer Capsules","160","7.50","8.50","160.00"
"Polyfer Syrup 200ml","12","13.20","14.00","9.60"
"Polyfer Syrup(100ml)","80","0.00","3.00","240.00"
"Polygel 200ml Suspension","10","20.00","0.00","-200.00"
"Postinor 2 Tablets","359","1.80","2.50","251.30"
"POT CIT (PPL)","26","6.50","8.00","39.00"
"POT CIT SOLTION(ADANSEMAN PH)","185","4.50","5.50","185.00"
"potasium nit","38","7.00","8.00","38.00"
"Precare Prekese Powder","10","42.00","44.00","20.00"
"Predisoline Tablets Letap","2485","0.77","0.90","323.05"
"Pregabaline 75mg (S-GALIN)","44","35.00","15.00","-880.00"
"pregnancare conception tab vitabiotics","5","140.25","170.00","148.75"
"PREGNANCARE ORG TAB","20","109.00","125.00","320.00"
"Pregnancy Test (Evecare)","558","2.00","2.50","279.00"
"PREGNANCY TEST KIT(LETAP)","1100","1.80","2.40","660.00"
"PREMICOL CAPS","5","182.00","195.00","65.00"
"procaine inj letap","173","3.50","5.00","259.50"
"procaine inj troge","180","6.60","8.00","252.00"
"procam caps","52","5.00","6.00","52.00"
"PROCOLD TAB","200","8.90","10.50","320.00"
"PROLIFE VITAMIN C","2000","0.00","35.00","70,000.00"
"Promecine Syrup","10","8.00","0.00","-80.00"
"Promethazine Syrup(ernest chemist)","990","9.00","11.00","1,980.00"
"promethezine tab","90","1.80","2.50","63.00"
"Prosluv Capsules","10","35.00","0.00","-350.00"
"Prostavite Capsules","24","36.00","38.00","48.00"
"PROWOMAN PLUS TAB","5","145.00","160.00","75.00"
"Proxicam Capsules(Global)","40","3.50","2.00","-60.00"
"Pure Cod Liver Oil(AYRTON)","14","100.00","110.00","140.00"
"Pylirona Tablets","10","17.00","17.00","0.00"
"Quinine Syrup(100ML)(ASPEE PHARMACY)","88","8.00","10.00","176.00"
"Quinine Syrup(60ML)","10","8.00","0.00","-80.00"
"RAPINOL TAB","1900","0.96","1.12","304.00"
"Redsun Capsules","426","13.80","15.00","511.20"
"Redsun condom","1678","2.50","3.50","1,678.00"
"Redsun Gelly","257","8.00","10.00","514.00"
"reedy vitamin c soluble","59","0.00","40.00","2,360.00"
"REEDY CALCIUM SOLUBEL","72","39.98","42.00","145.44"
"reedy multivitamin","96","0.00","40.00","3,840.00"
"reedy vitamin c with zinc","128","0.00","45.00","5,760.00"
"Reform Capsules","10","25.00","25.00","0.00"
"Reform Mixture","5","25.00","25.00","0.00"
"Remedol Tablet","1636","1.50","1.50","0.00"
"Res Q Syr","31","16.15","18.00","57.35"
"Res Q Tablets","274","8.00","8.00","0.00"
"Rescofer Syr","10","0.00","32.00","320.00"
"Restooth m wash","131","14.40","17.00","340.60"
"Rexcofer Syrup","10","45.00","0.00","-450.00"
"RHIZIN SYRUP","96","5.00","6.50","144.00"
"RHIZIN TAB","1202","1.30","1.50","240.40"
"Riddles Adult Cough Syr","180","11.50","13.00","270.00"
"Riddles Baby Cough Syr","116","0.00","12.00","1,392.00"
"RIDDLES JUNIOR SYRUP","120","10.90","12.00","132.00"
"RIMA DS","997","0.00","8.00","7,976.00"
"RIMA PLUS","1000","0.00","15.00","15,000.00"
"RITAFENAC TAB","260","0.00","1.30","338.00"
"Rizy Cream","10","15.00","0.00","-150.00"
"RL INFU","9","0.00","11.00","99.00"
"Robb inhaler","71","2.91","3.50","41.89"
"Robb oint 3.5ml","604","1.03","1.20","102.68"
"Robb Original Oint (23ml)","171","6.50","7.80","222.30"
"rocephin lg iv","3","0.00","18.00","54.00"
